Date,Code,Name,Open,Close,High,Low,Volume
2023-10-02,0050,元大台灣50,123.60,124.25,124.50,123.60,"6,751,292"
2023-10-03,0050,元大台灣50,123.95,123.50,124.15,123.45,"5,464,302"
2023-10-04,0050,元大台灣50,122.10,121.90,122.20,121.35,"12,322,148"
2023-10-05,0050,元大台灣50,122.40,123.65,123.65,122.40,"4,410,768"
2023-10-06,0050,元大台灣50,123.80,124.10,124.30,123.80,"5,059,285"
2023-10-11,0050,元大台灣50,125.90,126.25,126.40,125.85,"14,193,410"
2023-10-12,0050,元大台灣50,126.50,127.30,127.35,126.30,"14,896,995"
2023-10-13,0050,元大台灣50,127.00,126.95,127.40,126.50,"6,625,556"
2023-10-16,0050,元大台灣50,126.30,126.25,126.30,125.70,"8,160,811"
2023-10-17,0050,元大台灣50,126.70,126.55,127.00,126.40,"7,017,073"
2023-10-18,0050,元大台灣50,126.25,124.80,126.25,124.80,"10,455,744"
2023-10-19,0050,元大台灣50,124.40,124.85,125.20,124.40,"8,052,218"
2023-10-20,0050,元大台灣50,124.75,125.40,125.45,123.90,"4,697,636"
2023-10-23,0050,元大台灣50,124.85,123.85,124.85,123.55,"8,728,531"
2023-10-24,0050,元大台灣50,123.80,123.95,123.95,122.70,"7,671,925"
2023-09-01,0050,元大台灣50,125.50,125.90,126.30,125.10,"3,298,119"
2023-09-04,0050,元大台灣50,125.90,126.75,126.80,125.60,"3,707,169"
2023-09-05,0050,元大台灣50,126.55,126.45,126.60,126.05,"3,941,418"
2023-09-06,0050,元大台灣50,126.60,126.00,126.70,125.85,"7,625,626"
2023-09-07,0050,元大台灣50,125.30,124.85,125.50,124.70,"6,411,794"
2023-09-08,0050,元大台灣50,124.10,124.30,124.50,123.85,"6,199,055"
2023-09-11,0050,元大台灣50,124.45,123.80,124.50,123.40,"9,428,969"
2023-09-12,0050,元大台灣50,124.10,125.05,125.05,123.85,"2,805,462"
2023-09-13,0050,元大台灣50,125.20,125.20,125.60,124.70,"3,406,028"
2023-09-14,0050,元大台灣50,125.90,126.95,126.95,125.55,"7,617,917"
2023-09-15,0050,元大台灣50,127.00,127.35,127.35,126.75,"6,105,752"
2023-09-18,0050,元大台灣50,126.60,126.00,126.60,125.85,"7,560,656"
2023-09-19,0050,元大台灣50,125.85,125.45,126.05,125.35,"4,357,933"
2023-09-20,0050,元大台灣50,125.05,124.75,125.20,124.50,"6,502,123"
2023-09-21,0050,元大台灣50,123.80,122.75,123.85,122.65,"23,194,776"
2023-09-22,0050,元大台灣50,122.45,122.65,122.80,122.05,"10,344,025"
2023-09-25,0050,元大台灣50,122.75,123.55,123.75,122.75,"4,337,416"
2023-09-26,0050,元大台灣50,122.65,122.10,123.00,122.00,"11,388,965"
2023-09-27,0050,元大台灣50,121.85,122.15,122.30,121.55,"7,068,444"
2023-09-28,0050,元大台灣50,122.75,122.65,123.15,122.05,"5,881,478"
